time,value
0,0
0.02,0
0.12,0
0.22,0.0006852804
0.2465718,0.002238117
0.263373,0.003876533
0.2797068,0.004279577
0.2963514,0.00451107
0.3133432,0.004780622
0.3294053,0.005035766
0.3463628,0.004719062
0.3625403,0.004951199
0.3793006,0.005214753
0.3962968,0.005195936
0.4122392,0.005451915
0.4292752,0.005507893
0.4453719,0.005595301
0.4622466,0.005726173
0.479236,0.005838479
0.4952224,0.005953167
0.5116405,0.006109681
0.5282123,0.006234364
0.5447739,0.006367884
0.5613407,0.006445359
0.5781989,0.006529376
0.5944736,0.006679906
0.6111768,0.006775684
0.6281632,0.006833223
0.6441739,0.006966834
0.6612021,0.007018263
0.6773069,0.007101794
0.6941864,0.007227941
0.7614795,0.007310166
0.7793301,0.00740155
0.7958998,0.008307652
0.8124644,0.008380973
0.8291083,0.00841768
0.8455991,0.008485163
0.8631012,0.008517067
0.879073,0.008589677
0.8952992,0.008646387
0.9120554,0.008694038
0.9284331,0.008728039
0.9450278,0.008760992
0.9620219,0.008823501
0.9781317,0.008891162
0.995001,0.008919162
1.011264,0.0089536
1.027985,0.009014208
1.044973,0.009050055
1.06097,0.009098333
1.077534,0.009116843
1.0941,0.009170894
1.110666,0.009210746
1.127232,0.009236406
1.143906,0.009279991
1.160893,0.009298947
1.176932,0.009328378
1.193498,0.009375483
1.212593,0.009409187
1.229859,0.009424267
1.245846,0.0095139
1.262412,0.009544669
1.278862,0.009556226
1.295428,0.009586626
1.312392,0.009601107
1.328562,0.00963419
1.345367,0.009676634
1.361694,0.009687525
1.37831,0.009724153
1.394827,0.009734249
1.411396,0.009769303
1.428311,0.009786586
1.444529,0.00979774
1.46128,0.0098256
1.477662,0.009846662
1.494233,0.009862687
1.510794,0.009890131
1.527362,0.009898744
1.5442,0.009925175
1.560494,0.009933492
1.577186,0.009959621
1.593627,0.009976813
1.6102,0.009986099
1.626762,0.01000546
1.643329,0.01002386
1.660136,0.01004069
1.676462,0.01005519
1.693119,0.01006824
1.710134,0.01008799
1.726164,0.01010385
1.742729,0.01012156
1.759295,0.0101188
1.775862,0.01014065
1.792427,0.01014733
1.809055,0.01016336
1.826072,0.01017298
1.842129,0.01017542
1.859071,0.01020409
1.875262,0.01020039
1.892028,0.01022545
1.909025,0.01022289
1.924984,0.01023499
1.941528,0.01025659
1.958095,0.01026146
1.974661,0.01026371
1.991228,0.01027991
2.007955,0.01028046
2.024949,0.01029639
2.040928,0.01030254
2.057919,0.01032366
2.074063,0.01032303
2.090628,0.0103353
2.107889,0.01033325
2.123876,0.01034155
2.142387,0.01035967
2.158957,0.01035843
2.175819,0.01039845
2.192812,0.01040626
2.208795,0.01041322
2.225786,0.01042729
2.241793,0.01042025
2.258357,0.01043292
2.274924,0.01043486
2.29149,0.01043372
2.311976,0.01043699
2.329277,0.01044214
2.34527,0.0105149
2.36226,0.0105281
2.378252,0.01051901
2.394811,0.01053332
2.411378,0.0105256
2.427944,0.01052349
2.444511,0.01052886
2.461198,0.01053031
2.478195,0.01053359
2.494212,0.01053846
2.511171,0.01055194
2.527344,0.01054112
2.544142,0.01055131
2.560478,0.01054751
2.577125,0.01054876
2.59361,0.01055369
2.610178,0.01055095
2.627129,0.01055409
2.64331,0.01055861
2.660199,0.01056699
2.676445,0.01056112
2.693235,0.0105665
2.710183,0.0105638
2.726163,0.01057049
2.743159,0.01057549
2.759279,0.01056836
2.776152,0.01057678
2.79241,0.01056904
2.809103,0.01057986
2.826118,0.01057356
2.842111,0.01057388
2.859079,0.0105855
2.876089,0.01057858
2.89206,0.01058541
2.908378,0.01059112
2.926917,0.01058407
2.943485,0.01058341
2.960053,0.01061302
2.977264,0.0106162
2.993232,0.01061186
3.01019,0.01062857
3.026318,0.01061734
3.043171,0.01062499
3.059452,0.01061845
3.076188,0.01062234
3.093142,0.01061908
3.10916,0.01062117
3.126138,0.01062483
3.143112,0.01061527
3.159153,0.01062332
3.175418,0.01063346
3.192078,0.0106184
3.2091,0.01061288
3.225169,0.01061916
3.241686,0.01062453
3.260661,0.01062064
